gas_name,gas_year,gas_month,gas_average
Carbon D(C13/C12),1990,1,-8.35
Carbon D(C13/C12),1990,2,-8.386
Carbon D(C13/C12),1990,3,-8.408
Carbon D(C13/C12),1990,4,-8.382
Carbon D(C13/C12),1990,5,-8.331
Carbon D(C13/C12),1990,6,-8.142
Carbon D(C13/C12),1990,7,-7.715
Carbon D(C13/C12),1990,8,-7.441
Carbon D(C13/C12),1990,9,-7.547
Carbon D(C13/C12),1990,10,-7.819
Carbon D(C13/C12),1990,11,-8.043
Carbon D(C13/C12),1990,12,-8.193
Carbon D(C13/C12),1991,1,-8.266
Carbon D(C13/C12),1991,2,-8.289
Carbon D(C13/C12),1991,3,-8.284
Carbon D(C13/C12),1991,4,-8.27
Carbon D(C13/C12),1991,5,-8.297
Carbon D(C13/C12),1991,6,-8.198
Carbon D(C13/C12),1991,7,-7.813
Carbon D(C13/C12),1991,8,-7.504
Carbon D(C13/C12),1991,9,-7.597
Carbon D(C13/C12),1991,10,-7.863
Carbon D(C13/C12),1991,11,-8.065
Carbon D(C13/C12),1991,12,-8.202
Carbon D(C13/C12),1992,1,-8.244
Carbon D(C13/C12),1992,2,-8.252
Carbon D(C13/C12),1992,3,-8.252
Carbon D(C13/C12),1992,4,-8.258
Carbon D(C13/C12),1992,5,-8.291
Carbon D(C13/C12),1992,6,-8.162
Carbon D(C13/C12),1992,7,-7.758
Carbon D(C13/C12),1992,8,-7.461
Carbon D(C13/C12),1992,9,-7.538
Carbon D(C13/C12),1992,10,-7.763
Carbon D(C13/C12),1992,11,-7.991
Carbon D(C13/C12),1992,12,-8.156
Carbon D(C13/C12),1993,1,-8.231
Carbon D(C13/C12),1993,2,-8.273
Carbon D(C13/C12),1993,3,-8.289
Carbon D(C13/C12),1993,4,-8.271
Carbon D(C13/C12),1993,5,-8.25
Carbon D(C13/C12),1993,6,-8.063
Carbon D(C13/C12),1993,7,-7.686
Carbon D(C13/C12),1993,8,-7.415
