gas_name,gas_year,gas_month,gas_average
Methane(C13/C12),1998,1,-47.427
Methane(C13/C12),1998,2,-47.406
Methane(C13/C12),1998,3,-47.348
Methane(C13/C12),1998,4,-47.255
Methane(C13/C12),1998,5,-47.212
Methane(C13/C12),1998,6,-47.323
Methane(C13/C12),1998,7,-47.536
Methane(C13/C12),1998,8,-47.766
Methane(C13/C12),1998,9,-47.875
Methane(C13/C12),1998,10,-47.838
Methane(C13/C12),1998,11,-47.729
Methane(C13/C12),1998,12,-47.622
Methane(C13/C12),1999,1,-47.518
Methane(C13/C12),1999,2,-47.43
Methane(C13/C12),1999,3,-47.349
Methane(C13/C12),1999,4,-47.261
Methane(C13/C12),1999,5,-47.183
Methane(C13/C12),1999,6,-47.189
Methane(C13/C12),1999,7,-47.33
Methane(C13/C12),1999,8,-47.55
Methane(C13/C12),1999,9,-47.716
Methane(C13/C12),1999,10,-47.765
Methane(C13/C12),1999,11,-47.671
Methane(C13/C12),1999,12,-47.537
Methane(C13/C12),2000,1,-47.432
Methane(C13/C12),2000,2,-47.396
Methane(C13/C12),2000,3,-47.382
Methane(C13/C12),2000,4,-47.324
Methane(C13/C12),2000,5,-47.237
Methane(C13/C12),2000,6,-47.207
Methane(C13/C12),2000,7,-47.307
Methane(C13/C12),2000,8,-47.512
Methane(C13/C12),2000,9,-47.685
Methane(C13/C12),2000,10,-47.697
Methane(C13/C12),2000,11,-47.56
Methane(C13/C12),2000,12,-47.366
Methane(C13/C12),2001,1,-47.266
Methane(C13/C12),2001,2,-47.294
Methane(C13/C12),2001,3,-47.37
Methane(C13/C12),2001,4,-47.391
Methane(C13/C12),2001,5,-47.352
Methane(C13/C12),2001,12,-47.517
Methane(C13/C12),2002,1,-47.411
Methane(C13/C12),2002,2,-47.391
Methane(C13/C12),2002,3,-47.393
Methane(C13/C12),2002,4,-47.351
Methane(C13/C12),2002,5,-47.272
Methane(C13/C12),2002,6,-47.221
Methane(C13/C12),2002,7,-47.289
Methane(C13/C12),2002,8,-47.464
Methane(C13/C12),2002,9,-47.606
Methane(C13/C12),2002,10,-47.608
Methane(C13/C12),2002,11,-47.502
Methane(C13/C12),2002,12,-47.413
Methane(C13/C12),2003,1,-47.416
Methane(C13/C12),2003,2,-47.46
Methane(C13/C12),2003,3,-47.465
Methane(C13/C12),2003,4,-47.39
Methane(C13/C12),2003,5,-47.286
Methane(C13/C12),2003,6,-47.242
Methane(C13/C12),2003,7,-47.29
Methane(C13/C12),2003,8,-47.416
Methane(C13/C12),2003,9,-47.539
Methane(C13/C12),2003,10,-47.582
Methane(C13/C12),2003,11,-47.538
Methane(C13/C12),2003,12,-47.45
Methane(C13/C12),2004,1,-47.379
Methane(C13/C12),2004,2,-47.336
Methane(C13/C12),2004,3,-47.293
Methane(C13/C12),2004,4,-47.244
Methane(C13/C12),2004,5,-47.234
Methane(C13/C12),2004,6,-47.325
Methane(C13/C12),2004,7,-47.488
Methane(C13/C12),2004,8,-47.618
Methane(C13/C12),2004,9,-47.644
Methane(C13/C12),2004,10,-47.594
Methane(C13/C12),2004,11,-47.519
Methane(C13/C12),2004,12,-47.459
Methane(C13/C12),2005,1,-47.402
Methane(C13/C12),2005,2,-47.354
Methane(C13/C12),2005,3,-47.314
Methane(C13/C12),2005,4,-47.261
Methane(C13/C12),2005,5,-47.218
Methane(C13/C12),2005,6,-47.254
Methane(C13/C12),2005,7,-47.431
Methane(C13/C12),2005,8,-47.681
