gas_name,gas_year,gas_month,gas_average
Carbon Dioxide,1971,5,332.35
Carbon Dioxide,1971,6,330.28
Carbon Dioxide,1971,7,323.78
Carbon Dioxide,1971,8,317.71
Carbon Dioxide,1971,9,318.74
Carbon Dioxide,1971,10,322.79
Carbon Dioxide,1971,11,327.23
Carbon Dioxide,1971,12,331.04
Carbon Dioxide,1972,1,333.49
Carbon Dioxide,1972,2,334.18
Carbon Dioxide,1972,3,334.12
Carbon Dioxide,1972,4,334.53
Carbon Dioxide,1972,5,335.61
Carbon Dioxide,1972,6,333.55
Carbon Dioxide,1972,7,324.88
Carbon Dioxide,1972,8,318.78
Carbon Dioxide,1972,9,321.87
Carbon Dioxide,1972,10,327.08
Carbon Dioxide,1972,11,330.51
Carbon Dioxide,1972,12,333.37
Carbon Dioxide,1973,1,334.67
Carbon Dioxide,1973,2,335.35
Carbon Dioxide,1973,3,336.45
Carbon Dioxide,1973,4,336.94
Carbon Dioxide,1973,5,336.54
Carbon Dioxide,1973,6,334.28
Carbon Dioxide,1973,7,327.83
Carbon Dioxide,1973,8,322.3
Carbon Dioxide,1973,9,323.49
Carbon Dioxide,1973,10,328.36
Carbon Dioxide,1973,11,331.93
Carbon Dioxide,1973,12,334.92
Carbon Dioxide,1974,1,337.09
Carbon Dioxide,1974,2,337.72
Carbon Dioxide,1974,3,337.81
Carbon Dioxide,1974,4,337.55
Carbon Dioxide,1974,5,338.73
Carbon Dioxide,1974,6,338.42
Carbon Dioxide,1974,7,330.93
Carbon Dioxide,1974,8,323.22
Carbon Dioxide,1974,9,324.12
Carbon Dioxide,1974,10,329.29
Carbon Dioxide,1974,11,333.09
Carbon Dioxide,1974,12,335.66
Carbon Dioxide,1975,1,336.62
Carbon Dioxide,1975,2,336.47
Carbon Dioxide,1975,3,336.42
Carbon Dioxide,1975,4,336.58
Carbon Dioxide,1975,5,336.29
Carbon Dioxide,1975,6,334.33
Carbon Dioxide,1975,7,329.28
Carbon Dioxide,1975,8,324.58
Carbon Dioxide,1975,9,324.85
Carbon Dioxide,1975,10,329.3
Carbon Dioxide,1975,11,333.31
