gas_name,gas_year,gas_month,gas_average
Carbon Monoxide ,1989,4,187.51
Carbon Monoxide ,1989,5,165.24
Carbon Monoxide ,1989,6,117.47
Carbon Monoxide ,1989,7,93.74
Carbon Monoxide ,1989,8,104.74
Carbon Monoxide ,1989,9,120.91
Carbon Monoxide ,1989,10,129.82
Carbon Monoxide ,1989,11,143.45
Carbon Monoxide ,1989,12,167.8
Carbon Monoxide ,1990,1,192.25
Carbon Monoxide ,1990,2,207.95
Carbon Monoxide ,1990,3,210.64
Carbon Monoxide ,1990,4,192.77
Carbon Monoxide ,1990,5,161.18
Carbon Monoxide ,1990,6,120.91
Carbon Monoxide ,1990,7,97.13
Carbon Monoxide ,1990,8,102.14
Carbon Monoxide ,1990,9,115.13
Carbon Monoxide ,1990,10,123.89
Carbon Monoxide ,1990,11,144.98
Carbon Monoxide ,1990,12,174.85
Carbon Monoxide ,1991,1,192.92
Carbon Monoxide ,1991,2,202.58
Carbon Monoxide ,1991,3,207.67
Carbon Monoxide ,1991,4,198.3
Carbon Monoxide ,1991,5,165.54
Carbon Monoxide ,1991,6,122.22
Carbon Monoxide ,1991,7,97.97
Carbon Monoxide ,1991,8,98.17
Carbon Monoxide ,1991,9,108.9
Carbon Monoxide ,1991,10,118.98
Carbon Monoxide ,1991,11,137.95
Carbon Monoxide ,1991,12,162.84
Carbon Monoxide ,1992,1,181.29
Carbon Monoxide ,1992,2,190.03
Carbon Monoxide ,1992,3,193.11
Carbon Monoxide ,1992,4,188.67
Carbon Monoxide ,1992,5,164.3
Carbon Monoxide ,1992,6,126.39
Carbon Monoxide ,1992,7,98.45
Carbon Monoxide ,1992,8,94.25
Carbon Monoxide ,1992,9,105.19
Carbon Monoxide ,1992,10,118.67
Carbon Monoxide ,1992,11,133.67
Carbon Monoxide ,1992,12,151.69
Carbon Monoxide ,1993,1,167.88
Carbon Monoxide ,1993,2,178.42
Carbon Monoxide ,1993,3,186.88
Carbon Monoxide ,1993,4,181.21
Carbon Monoxide ,1993,5,148.47
Carbon Monoxide ,1993,6,110.72
Carbon Monoxide ,1993,7,88.74
Carbon Monoxide ,1993,8,93.39
Carbon Monoxide ,1993,9,106.48
Carbon Monoxide ,1993,10,118.48
Carbon Monoxide ,1993,11,131.77
Carbon Monoxide ,1993,12,149.42
Carbon Monoxide ,1994,1,169.92
Carbon Monoxide ,1994,2,189.07
Carbon Monoxide ,1994,3,199.27
Carbon Monoxide ,1994,4,189
Carbon Monoxide ,1994,5,158.41
Carbon Monoxide ,1994,6,123.33
Carbon Monoxide ,1994,7,100.98
Carbon Monoxide ,1994,8,107.59
Carbon Monoxide ,1994,9,122.53
Carbon Monoxide ,1994,10,131.23
Carbon Monoxide ,1994,11,140.85
Carbon Monoxide ,1994,12,156.08
Carbon Monoxide ,1995,1,172.46
Carbon Monoxide ,1995,2,185.8
Carbon Monoxide ,1995,3,190.03
Carbon Monoxide ,1995,4,175.29
Carbon Monoxide ,1995,5,146.59
Carbon Monoxide ,1995,6,112.76
Carbon Monoxide ,1995,7,97.16
Carbon Monoxide ,1995,8,99.29
Carbon Monoxide ,1995,9,103.7
Carbon Monoxide ,1995,10,111.32
Carbon Monoxide ,1995,11,126.94
Carbon Monoxide ,1995,12,145.58
Carbon Monoxide ,1996,1,161.95
Carbon Monoxide ,1996,2,176.28
Carbon Monoxide ,1996,3,182.46
Carbon Monoxide ,1996,4,175.25
Carbon Monoxide ,1996,5,154.06
Carbon Monoxide ,1996,6,119.28
Carbon Monoxide ,1996,7,96.34
Carbon Monoxide ,1996,8,99.56
Carbon Monoxide ,1996,9,112.66
Carbon Monoxide ,1996,10,117.16
Carbon Monoxide ,1996,11,124.96
Carbon Monoxide ,1996,12,144.76
Carbon Monoxide ,1997,1,167.64
Carbon Monoxide ,1997,2,179.16
Carbon Monoxide ,1997,3,177.46
Carbon Monoxide ,1997,4,168.75
Carbon Monoxide ,1997,5,146
Carbon Monoxide ,1997,6,110.79
