Average of gas_average,Column Labels,,,,,,,,
Row Labels,1998,1999,2000,2001,2002,2003,2004,2005,Grand Total
Carbon D(C13/C12),-8.194666667,-8.237416667,-8.211,-8.213666667,-8.253833333,-8.3345,-8.294916667,-8.368583333,-8.263572917
Carbon D(O18/O16),-0.853416667,-0.763333333,-0.709083333,-0.596,-0.536,-0.513083333,-0.53775,-0.606,-0.639333333
Carbon Dioxide,367.56,369.9975,370.8716667,372.3641667,374.4925,377.42,378.125,381.185,374.0019792
Carbon Monoxide ,154.5833333,136.47,126.5466667,126.9316667,137.025,150.2666667,130.9191667,129.3166667,136.5073958
Methane ,1859.84,1863.591667,1861.085833,1859.628333,1861.693333,1877.031667,1865.749167,1867.021667,1864.455208
Methane(C13/C12),-47.52808333,-47.45825,-47.42541667,-47.365,-47.41008333,-47.42283333,-47.42775,-47.4577,-47.44131818
Molecular Hydrogen,501.1741667,493.3675,488.7133333,490.0725,488.2466667,494.6208333,494.23,503.4916667,493.6227778
Nitrous Oxide ,313.625,314.1658333,315.5883333,316.4983333,317.1608333,317.89,318.4841667,319.2441667,316.5820833
Sulfur Hexafluoride ,4.39,4.54,4.735833333,4.9375,5.13,5.39,5.618333333,5.835,5.072083333
Grand Total,349.3995926,347.2970556,345.688463,369.169451,347.5053796,351.8165278,348.5406019,348.69908,350.9081588
