gas_type,gas_year,gas_month,gas_average
Methane ,1983,4,1717.06
Methane ,1983,5,1706.91
Methane ,1983,6,1700.97
Methane ,1983,7,1695.56
Methane ,1983,8,1706.65
Methane ,1983,9,1728.74
Methane ,1983,10,1743.29
Methane ,1983,11,1735.33
Methane ,1983,12,1732.03
Methane ,1984,1,1759.69
Methane ,1984,2,1775.36
Methane ,1984,3,1753.43
Methane ,1984,4,1738.15
Methane ,1984,5,1731.5
Methane ,1984,6,1721.42
Methane ,1984,7,1714.34
Methane ,1984,8,1725.69
Methane ,1984,9,1749.54
Methane ,1984,10,1752.86
Methane ,1984,11,1747.14
Methane ,1984,12,1760.83
Methane ,1985,1,1764.58
Methane ,1985,2,1755.97
Methane ,1985,3,1763.06
Methane ,1985,4,1767.45
Methane ,1985,5,1753.69
Methane ,1985,6,1731.21
Methane ,1985,7,1719.23
Methane ,1985,8,1724.57
Methane ,1985,9,1749.61
Methane ,1985,10,1776.45
Methane ,1985,11,1773.91
Methane ,1985,12,1763.23
Methane ,1986,1,1768.52
Methane ,1986,2,1792.82
Methane ,1986,3,1801.15
Methane ,1986,4,1779.47
Methane ,1986,5,1756.81
Methane ,1986,6,1751.65
Methane ,1986,7,1744.84
Methane ,1986,8,1743.36
Methane ,1986,9,1777.98
Methane ,1986,10,1814.78
Methane ,1986,11,1801.17
Methane ,1986,12,1775.97
Methane ,1987,1,1779.29
Methane ,1987,2,1795.8
Methane ,1987,3,1798.72
Methane ,1987,4,1786.16
Methane ,1987,5,1768.81
Methane ,1987,6,1755.37
Methane ,1987,7,1758.07
Methane ,1987,8,1771.7
Methane ,1987,9,1780.52
Methane ,1987,10,1781.53
Methane ,1987,11,1787.4
Methane ,1987,12,1795.25
Methane ,1988,1,1813.21
Methane ,1988,2,1829.75
Methane ,1988,3,1816.54
Methane ,1988,4,1797.21
Methane ,1988,5,1782.71
Methane ,1988,6,1767.93
Methane ,1988,7,1760.09
Methane ,1988,8,1766.47
Methane ,1988,9,1787.44
Methane ,1988,10,1796.02
Methane ,1988,11,1804.77
Methane ,1988,12,1823.52
Methane ,1989,1,1824.63
Methane ,1989,2,1822.74
Methane ,1989,3,1827.02
Methane ,1989,4,1807.37
Methane ,1989,5,1787.29
Methane ,1989,6,1776.01
Methane ,1989,7,1796.83
Methane ,1989,8,1824.3
Methane ,1989,9,1804.27
Methane ,1989,10,1805.37
Methane ,1989,11,1820.8
Methane ,1989,12,1822.66
Methane ,1990,1,1830.07
Methane ,1990,2,1844.57
Methane ,1990,3,1840.79
Methane ,1990,4,1822.73
Methane ,1990,5,1809.58
Methane ,1990,6,1795.94
Methane ,1990,7,1785.36
Methane ,1990,8,1794.74
Methane ,1990,9,1808.47
Methane ,1990,10,1818.39
Methane ,1990,11,1835.79
Methane ,1990,12,1849.49
Methane ,1991,1,1847.02
Methane ,1991,2,1838.93
Methane ,1991,3,1841.52
Methane ,1991,4,1829.52
Methane ,1991,5,1806.49
Methane ,1991,6,1798.71
Methane ,1991,7,1804.55
Methane ,1991,8,1805.6
Methane ,1991,9,1811.37
Methane ,1991,10,1828.23
Methane ,1991,11,1838.8
Methane ,1991,12,1846.2
Methane ,1992,1,1856.92
Methane ,1992,2,1852.85
Methane ,1992,3,1839.78
Methane ,1992,4,1832.31
Methane ,1992,5,1822.13
Methane ,1992,6,1814.34
Methane ,1992,7,1810.24
Methane ,1992,8,1807.44
Methane ,1992,9,1812.01
Methane ,1992,10,1825.16
Methane ,1992,11,1835.88
Methane ,1992,12,1838.47
Methane ,1993,1,1839.96
Methane ,1993,2,1845.18
Methane ,1993,3,1848.51
Methane ,1993,4,1837.95
Methane ,1993,5,1819.38
Methane ,1993,6,1804.47
Methane ,1993,7,1804.59
Methane ,1993,8,1810.94
Methane ,1993,9,1821.56
Methane ,1993,10,1830.19
Methane ,1993,11,1837.68
Methane ,1993,12,1847.71
Methane ,1994,1,1846.77
Methane ,1994,2,1857.8
Methane ,1994,3,1865.11
Methane ,1994,4,1842.04
Methane ,1994,5,1824.98
Methane ,1994,6,1815.83
Methane ,1994,7,1827.65
Methane ,1994,8,1836.96
Methane ,1994,9,1841.16
Methane ,1994,10,1851.96
Methane ,1994,11,1854.82
Methane ,1994,12,1861.4
Methane ,1995,1,1868.53
