gas_name,gas_year,gas_month,gas_average
Molecular Hydrogen,1989,1,485.4
Molecular Hydrogen,1989,2,489.18
Molecular Hydrogen,1989,3,506.12
Molecular Hydrogen,1989,4,544.74
Molecular Hydrogen,1989,5,556.36
Molecular Hydrogen,1989,6,547.25
Molecular Hydrogen,1989,7,524.5
Molecular Hydrogen,1989,8,501.11
Molecular Hydrogen,1989,9,498.91
Molecular Hydrogen,1989,10,495.06
Molecular Hydrogen,1989,11,488.55
Molecular Hydrogen,1989,12,506.15
Molecular Hydrogen,1990,1,537.67
Molecular Hydrogen,1990,2,540.52
Molecular Hydrogen,1990,3,533.72
Molecular Hydrogen,1990,4,536.22
Molecular Hydrogen,1990,5,532.39
Molecular Hydrogen,1990,6,516.93
Molecular Hydrogen,1990,7,510.53
Molecular Hydrogen,1990,8,496.65
Molecular Hydrogen,1990,9,470.03
Molecular Hydrogen,1990,10,460.63
Molecular Hydrogen,1990,11,463.86
Molecular Hydrogen,1990,12,487.75
Molecular Hydrogen,1991,1,515.15
Molecular Hydrogen,1991,2,524.55
Molecular Hydrogen,1991,3,535.04
Molecular Hydrogen,1991,4,541.26
Molecular Hydrogen,1991,5,537.42
Molecular Hydrogen,1991,6,528.92
Molecular Hydrogen,1991,7,511.57
Molecular Hydrogen,1991,8,490.8
Molecular Hydrogen,1991,9,467.72
Molecular Hydrogen,1991,10,462
Molecular Hydrogen,1991,11,476.12
Molecular Hydrogen,1991,12,494.8
Molecular Hydrogen,1992,1,508.37
Molecular Hydrogen,1992,2,519.28
Molecular Hydrogen,1992,3,533.26
Molecular Hydrogen,1992,4,538.46
Molecular Hydrogen,1992,5,530.13
Molecular Hydrogen,1992,6,513.96
Molecular Hydrogen,1992,7,501.93
Molecular Hydrogen,1992,8,479.25
Molecular Hydrogen,1992,9,456.19
Molecular Hydrogen,1992,10,455.3
Molecular Hydrogen,1992,11,462.39
Molecular Hydrogen,1992,12,476.65
Molecular Hydrogen,1993,1,497.22
Molecular Hydrogen,1993,2,513.38
Molecular Hydrogen,1993,3,521.09
Molecular Hydrogen,1993,4,525.48
Molecular Hydrogen,1993,5,527.36
Molecular Hydrogen,1993,6,512.87
Molecular Hydrogen,1993,7,492.61
Molecular Hydrogen,1993,8,473.01
Molecular Hydrogen,1993,9,459.67
Molecular Hydrogen,1993,10,459.82
Molecular Hydrogen,1993,11,463.36
Molecular Hydrogen,1993,12,476.37
Molecular Hydrogen,1994,1,495.32
Molecular Hydrogen,1994,2,505.14
Molecular Hydrogen,1994,3,513.98
Molecular Hydrogen,1994,4,521.36
Molecular Hydrogen,1994,5,522.33
Molecular Hydrogen,1994,6,513.55
Molecular Hydrogen,1994,7,485.67
Molecular Hydrogen,1994,8,468.82
Molecular Hydrogen,1994,9,465.75
Molecular Hydrogen,1994,10,455.41
Molecular Hydrogen,1994,11,459.88
Molecular Hydrogen,1994,12,472.58
Molecular Hydrogen,1995,1,485.74
Molecular Hydrogen,1995,2,498.02
Molecular Hydrogen,1995,3,508.35
Molecular Hydrogen,1995,4,514.16
Molecular Hydrogen,1995,5,513.98
