gas_name,gas_year,gas_month,gas_average
Nitrous Oxide ,1997,5,313.54
Nitrous Oxide ,1997,6,313.47
Nitrous Oxide ,1997,7,313.28
Nitrous Oxide ,1997,8,313.09
Nitrous Oxide ,1997,9,313.02
Nitrous Oxide ,1997,10,313.07
Nitrous Oxide ,1997,11,313.19
Nitrous Oxide ,1997,12,313.4
Nitrous Oxide ,1998,1,313.65
Nitrous Oxide ,1998,2,313.7
Nitrous Oxide ,1998,3,313.66
Nitrous Oxide ,1998,4,313.73
Nitrous Oxide ,1998,5,313.8
Nitrous Oxide ,1998,6,313.71
Nitrous Oxide ,1998,7,313.5
Nitrous Oxide ,1998,8,313.33
Nitrous Oxide ,1998,9,313.32
Nitrous Oxide ,1998,10,313.46
Nitrous Oxide ,1998,11,313.69
Nitrous Oxide ,1998,12,313.95
Nitrous Oxide ,1999,1,314.08
Nitrous Oxide ,1999,2,314.15
Nitrous Oxide ,1999,3,314.27
Nitrous Oxide ,1999,4,314.3
Nitrous Oxide ,1999,5,314.18
Nitrous Oxide ,1999,6,313.93
Nitrous Oxide ,1999,7,313.67
Nitrous Oxide ,1999,8,313.65
Nitrous Oxide ,1999,9,313.94
Nitrous Oxide ,1999,10,314.32
Nitrous Oxide ,1999,11,314.59
Nitrous Oxide ,1999,12,314.91
Nitrous Oxide ,2000,1,315.21
Nitrous Oxide ,2000,2,315.31
Nitrous Oxide ,2000,3,315.33
Nitrous Oxide ,2000,4,315.49
Nitrous Oxide ,2000,5,315.7
Nitrous Oxide ,2000,6,315.67
Nitrous Oxide ,2000,7,315.45
Nitrous Oxide ,2000,8,315.38
Nitrous Oxide ,2000,9,315.56
Nitrous Oxide ,2000,10,315.73
Nitrous Oxide ,2000,11,315.96
Nitrous Oxide ,2000,12,316.27
Nitrous Oxide ,2001,1,316.49
Nitrous Oxide ,2001,2,316.63
Nitrous Oxide ,2001,3,316.68
Nitrous Oxide ,2001,4,316.57
Nitrous Oxide ,2001,5,316.39
Nitrous Oxide ,2001,6,316.36
Nitrous Oxide ,2001,7,316.31
Nitrous Oxide ,2001,8,316.14
Nitrous Oxide ,2001,9,316.19
Nitrous Oxide ,2001,10,316.48
Nitrous Oxide ,2001,11,316.76
Nitrous Oxide ,2001,12,316.98
Nitrous Oxide ,2002,1,317.12
Nitrous Oxide ,2002,2,317.24
Nitrous Oxide ,2002,3,317.45
Nitrous Oxide ,2002,4,317.58
Nitrous Oxide ,2002,5,317.43
Nitrous Oxide ,2002,6,317.15
Nitrous Oxide ,2002,7,316.9
Nitrous Oxide ,2002,8,316.72
Nitrous Oxide ,2002,9,316.73
Nitrous Oxide ,2002,10,316.91
Nitrous Oxide ,2002,11,317.19
Nitrous Oxide ,2002,12,317.51
Nitrous Oxide ,2003,1,317.74
Nitrous Oxide ,2003,2,317.76
Nitrous Oxide ,2003,3,317.87
Nitrous Oxide ,2003,4,318.05
Nitrous Oxide ,2003,5,318.05
Nitrous Oxide ,2003,6,317.99
Nitrous Oxide ,2003,7,317.85
Nitrous Oxide ,2003,8,317.59
Nitrous Oxide ,2003,9,317.52
Nitrous Oxide ,2003,10,317.83
Nitrous Oxide ,2003,11,318.15
Nitrous Oxide ,2003,12,318.28
Nitrous Oxide ,2004,1,318.44
Nitrous Oxide ,2004,2,318.52
Nitrous Oxide ,2004,3,318.49
Nitrous Oxide ,2004,4,318.66
Nitrous Oxide ,2004,5,318.83
Nitrous Oxide ,2004,6,318.57
Nitrous Oxide ,2004,7,318.18
Nitrous Oxide ,2004,8,318.13
Nitrous Oxide ,2004,9,318.14
Nitrous Oxide ,2004,10,318.15
Nitrous Oxide ,2004,11,318.52
Nitrous Oxide ,2004,12,319.18
Nitrous Oxide ,2005,1,319.45
Nitrous Oxide ,2005,2,319.35
Nitrous Oxide ,2005,3,319.41
Nitrous Oxide ,2005,4,319.58
Nitrous Oxide ,2005,5,319.38
Nitrous Oxide ,2005,6,318.93
Nitrous Oxide ,2005,7,318.79
Nitrous Oxide ,2005,8,318.93
Nitrous Oxide ,2005,9,319
Nitrous Oxide ,2005,10,319.06
Nitrous Oxide ,2005,11,319.33
Nitrous Oxide ,2005,12,319.72
Nitrous Oxide ,2006,1,319.94
Nitrous Oxide ,2006,2,320.1
Nitrous Oxide ,2006,3,320.35
Nitrous Oxide ,2006,4,320.47
Nitrous Oxide ,2006,5,320.24
Nitrous Oxide ,2006,6,319.94
Nitrous Oxide ,2006,7,319.72
Nitrous Oxide ,2006,8,319.49
Nitrous Oxide ,2006,9,319.47
Nitrous Oxide ,2006,10,319.75
Nitrous Oxide ,2006,11,320.19
Nitrous Oxide ,2006,12,320.6
Nitrous Oxide ,2007,1,320.76
Nitrous Oxide ,2007,2,320.78
Nitrous Oxide ,2007,3,320.88
Nitrous Oxide ,2007,4,320.97
Nitrous Oxide ,2007,5,320.89
Nitrous Oxide ,2007,6,320.72
Nitrous Oxide ,2007,7,320.51
Nitrous Oxide ,2007,8,320.39
Nitrous Oxide ,2007,9,320.56
Nitrous Oxide ,2007,10,320.88
Nitrous Oxide ,2007,11,321.27
Nitrous Oxide ,2007,12,321.72
Nitrous Oxide ,2008,1,322.13
Nitrous Oxide ,2008,2,322.26
Nitrous Oxide ,2008,3,322.18
Nitrous Oxide ,2008,4,322.13
Nitrous Oxide ,2008,5,322.16
Nitrous Oxide ,2008,6,322.1
Nitrous Oxide ,2008,7,321.87
Nitrous Oxide ,2008,8,321.64
Nitrous Oxide ,2008,9,321.64
Nitrous Oxide ,2008,10,321.89
Nitrous Oxide ,2008,11,322.09
Nitrous Oxide ,2008,12,322.26
Nitrous Oxide ,2009,1,322.67
Nitrous Oxide ,2009,2,323.04
Nitrous Oxide ,2009,3,323.09
Nitrous Oxide ,2009,4,322.93
Nitrous Oxide ,2009,5,322.69
Nitrous Oxide ,2009,6,322.41
Nitrous Oxide ,2009,7,322.23
Nitrous Oxide ,2009,8,322.24
Nitrous Oxide ,2009,9,322.42
Nitrous Oxide ,2009,10,322.79
Nitrous Oxide ,2009,11,323.09
Nitrous Oxide ,2009,12,323.17
Nitrous Oxide ,2010,1,323.2
Nitrous Oxide ,2010,2,323.35
Nitrous Oxide ,2010,3,323.61
Nitrous Oxide ,2010,4,323.75
Nitrous Oxide ,2010,5,323.66
Nitrous Oxide ,2010,6,323.5
Nitrous Oxide ,2010,7,323.37
Nitrous Oxide ,2010,8,323.22
Nitrous Oxide ,2010,9,323.15
Nitrous Oxide ,2010,10,323.35
Nitrous Oxide ,2010,11,323.67
Nitrous Oxide ,2010,12,324.04
Nitrous Oxide ,2011,1,324.41
Nitrous Oxide ,2011,2,324.63
Nitrous Oxide ,2011,3,324.7
Nitrous Oxide ,2011,4,324.71
Nitrous Oxide ,2011,5,324.64
Nitrous Oxide ,2011,6,324.47
Nitrous Oxide ,2011,7,324.31
Nitrous Oxide ,2011,8,324.22
Nitrous Oxide ,2011,9,324.3
Nitrous Oxide ,2011,10,324.64
Nitrous Oxide ,2011,11,325.09
Nitrous Oxide ,2011,12,325.32
Nitrous Oxide ,2012,1,325.38
Nitrous Oxide ,2012,2,325.47
Nitrous Oxide ,2012,3,325.6
Nitrous Oxide ,2012,4,325.7
Nitrous Oxide ,2012,5,325.66
Nitrous Oxide ,2012,6,325.37
Nitrous Oxide ,2012,7,325.02
Nitrous Oxide ,2012,8,324.78
Nitrous Oxide ,2012,9,324.83
Nitrous Oxide ,2012,10,325.19
Nitrous Oxide ,2012,11,325.61
Nitrous Oxide ,2012,12,325.83
Nitrous Oxide ,2013,1,325.94
Nitrous Oxide ,2013,2,326.05
Nitrous Oxide ,2013,3,326.19
Nitrous Oxide ,2013,4,326.36
Nitrous Oxide ,2013,5,326.47
Nitrous Oxide ,2013,6,326.43
Nitrous Oxide ,2013,7,326.22
Nitrous Oxide ,2013,8,325.91
Nitrous Oxide ,2013,9,325.76
Nitrous Oxide ,2013,10,326.04
Nitrous Oxide ,2013,11,326.56
Nitrous Oxide ,2013,12,326.86
Nitrous Oxide ,2014,1,326.98
Nitrous Oxide ,2014,2,327.11
Nitrous Oxide ,2014,3,327.29
Nitrous Oxide ,2014,4,327.48
Nitrous Oxide ,2014,5,327.54
Nitrous Oxide ,2014,6,327.46
Nitrous Oxide ,2014,7,327.42
Nitrous Oxide ,2014,8,327.46
Nitrous Oxide ,2014,9,327.52
Nitrous Oxide ,2014,10,327.7
Nitrous Oxide ,2014,11,328.05
Nitrous Oxide ,2014,12,328.35
Nitrous Oxide ,2015,1,328.53
Nitrous Oxide ,2015,2,328.63
Nitrous Oxide ,2015,3,328.67
Nitrous Oxide ,2015,4,328.62
Nitrous Oxide ,2015,5,328.57
Nitrous Oxide ,2015,6,328.45
Nitrous Oxide ,2015,7,328.19
Nitrous Oxide ,2015,8,328.03
Nitrous Oxide ,2015,9,328.15
Nitrous Oxide ,2015,10,328.43
Nitrous Oxide ,2015,11,328.76
Nitrous Oxide ,2015,12,329.19
Nitrous Oxide ,2016,1,329.47
Nitrous Oxide ,2016,2,329.51
Nitrous Oxide ,2016,3,329.51
Nitrous Oxide ,2016,4,329.59
Nitrous Oxide ,2016,5,329.62
Nitrous Oxide ,2016,6,329.49
Nitrous Oxide ,2016,7,329.2
Nitrous Oxide ,2016,8,328.93
Nitrous Oxide ,2016,9,328.92
Nitrous Oxide ,2016,10,329.18
Nitrous Oxide ,2016,11,329.6
Nitrous Oxide ,2016,12,330
Nitrous Oxide ,2017,1,330.27
