gas_name,gas_year,gas_month,gas_average
Carbon D(O18/O16),1990,2,-0.485
Carbon D(O18/O16),1990,3,-0.38
Carbon D(O18/O16),1990,4,-0.329
Carbon D(O18/O16),1990,5,-0.342
Carbon D(O18/O16),1990,6,-0.249
Carbon D(O18/O16),1990,7,-0.119
Carbon D(O18/O16),1990,8,-0.341
Carbon D(O18/O16),1990,9,-0.778
Carbon D(O18/O16),1990,10,-1.099
Carbon D(O18/O16),1990,11,-1.128
Carbon D(O18/O16),1990,12,-0.899
Carbon D(O18/O16),1991,1,-0.547
Carbon D(O18/O16),1991,2,-0.284
Carbon D(O18/O16),1991,3,-0.077
Carbon D(O18/O16),1991,4,0.09
Carbon D(O18/O16),1991,5,0.134
Carbon D(O18/O16),1991,6,0.144
Carbon D(O18/O16),1991,7,0.055
Carbon D(O18/O16),1991,8,-0.373
Carbon D(O18/O16),1991,9,-0.904
Carbon D(O18/O16),1991,10,-1.101
Carbon D(O18/O16),1991,11,-1.005
Carbon D(O18/O16),1991,12,-0.76
Carbon D(O18/O16),1992,1,-0.471
Carbon D(O18/O16),1992,2,-0.261
Carbon D(O18/O16),1992,3,-0.063
Carbon D(O18/O16),1992,4,0.065
Carbon D(O18/O16),1992,5,0.061
Carbon D(O18/O16),1992,6,0.073
Carbon D(O18/O16),1992,7,0.063
Carbon D(O18/O16),1992,8,-0.266
Carbon D(O18/O16),1992,9,-0.71
Carbon D(O18/O16),1992,10,-0.876
Carbon D(O18/O16),1992,11,-0.802
Carbon D(O18/O16),1992,12,-0.579
Carbon D(O18/O16),1993,1,-0.327
Carbon D(O18/O16),1993,2,-0.124
Carbon D(O18/O16),1993,3,0.055
Carbon D(O18/O16),1993,4,0.162
Carbon D(O18/O16),1993,5,0.092
Carbon D(O18/O16),1993,6,-0.024
Carbon D(O18/O16),1993,7,-0.172
Carbon D(O18/O16),1993,8,-0.576
Carbon D(O18/O16),1993,9,-1.001
Carbon D(O18/O16),1993,10,-1.096
Carbon D(O18/O16),1993,11,-0.962
Carbon D(O18/O16),1993,12,-0.753
Carbon D(O18/O16),1994,1,-0.549
Carbon D(O18/O16),1994,2,-0.399
Carbon D(O18/O16),1994,3,-0.239
Carbon D(O18/O16),1994,4,-0.084
Carbon D(O18/O16),1994,5,-0.08
Carbon D(O18/O16),1994,6,-0.189
Carbon D(O18/O16),1994,7,-0.349
Carbon D(O18/O16),1994,8,-0.72
Carbon D(O18/O16),1994,9,-1.095
Carbon D(O18/O16),1994,10,-1.203
Carbon D(O18/O16),1994,11,-1.171
Carbon D(O18/O16),1994,12,-1.08
Carbon D(O18/O16),1995,1,-0.877
Carbon D(O18/O16),1995,2,-0.634
Carbon D(O18/O16),1995,3,-0.407
Carbon D(O18/O16),1995,4,-0.241
Carbon D(O18/O16),1995,5,-0.237
Carbon D(O18/O16),1995,6,-0.276
Carbon D(O18/O16),1995,7,-0.333
Carbon D(O18/O16),1995,8,-0.629
Carbon D(O18/O16),1995,9,-0.982
Carbon D(O18/O16),1995,10,-1.175
Carbon D(O18/O16),1995,11,-1.185
Carbon D(O18/O16),1995,12,-1.068
Carbon D(O18/O16),1996,1,-0.82
Carbon D(O18/O16),1996,2,-0.596
Carbon D(O18/O16),1996,3,-0.463
Carbon D(O18/O16),1996,4,-0.391
Carbon D(O18/O16),1996,5,-0.399
Carbon D(O18/O16),1996,6,-0.36
Carbon D(O18/O16),1996,7,-0.372
Carbon D(O18/O16),1996,8,-0.737
Carbon D(O18/O16),1996,9,-1.237
Carbon D(O18/O16),1996,10,-1.421
Carbon D(O18/O16),1996,11,-1.329
Carbon D(O18/O16),1996,12,-1.108
Carbon D(O18/O16),1997,1,-0.848
Carbon D(O18/O16),1997,2,-0.649
Carbon D(O18/O16),1997,3,-0.444
Carbon D(O18/O16),1997,4,-0.326
Carbon D(O18/O16),1997,5,-0.396
Carbon D(O18/O16),1997,6,-0.538
Carbon D(O18/O16),1997,7,-0.725
Carbon D(O18/O16),1997,8,-1.067
Carbon D(O18/O16),1997,9,-1.402
Carbon D(O18/O16),1997,10,-1.367
Carbon D(O18/O16),1997,11,-1.126
Carbon D(O18/O16),1997,12,-0.852
Carbon D(O18/O16),1998,1,-0.647
Carbon D(O18/O16),1998,2,-0.551
Carbon D(O18/O16),1998,3,-0.446
Carbon D(O18/O16),1998,4,-0.351
Carbon D(O18/O16),1998,5,-0.398
Carbon D(O18/O16),1998,6,-0.544
Carbon D(O18/O16),1998,7,-0.771
Carbon D(O18/O16),1998,8,-1.185
Carbon D(O18/O16),1998,9,-1.499
Carbon D(O18/O16),1998,10,-1.462
Carbon D(O18/O16),1998,11,-1.276
Carbon D(O18/O16),1998,12,-1.111
Carbon D(O18/O16),1999,1,-0.947
Carbon D(O18/O16),1999,2,-0.749
Carbon D(O18/O16),1999,3,-0.478
Carbon D(O18/O16),1999,4,-0.284
Carbon D(O18/O16),1999,5,-0.328
Carbon D(O18/O16),1999,6,-0.427
Carbon D(O18/O16),1999,7,-0.504
Carbon D(O18/O16),1999,8,-0.782
Carbon D(O18/O16),1999,9,-1.122
Carbon D(O18/O16),1999,10,-1.242
Carbon D(O18/O16),1999,11,-1.217
Carbon D(O18/O16),1999,12,-1.08
Carbon D(O18/O16),2000,1,-0.821
Carbon D(O18/O16),2000,2,-0.563
Carbon D(O18/O16),2000,3,-0.388
Carbon D(O18/O16),2000,4,-0.315
Carbon D(O18/O16),2000,5,-0.39
Carbon D(O18/O16),2000,6,-0.447
Carbon D(O18/O16),2000,7,-0.519
Carbon D(O18/O16),2000,8,-0.851
Carbon D(O18/O16),2000,9,-1.187
Carbon D(O18/O16),2000,10,-1.227
Carbon D(O18/O16),2000,11,-1.015
Carbon D(O18/O16),2000,12,-0.786
Carbon D(O18/O16),2001,1,-0.586
Carbon D(O18/O16),2001,2,-0.48
Carbon D(O18/O16),2001,3,-0.38
Carbon D(O18/O16),2001,4,-0.259
Carbon D(O18/O16),2001,5,-0.24
Carbon D(O18/O16),2001,6,-0.252
Carbon D(O18/O16),2001,7,-0.33
Carbon D(O18/O16),2001,8,-0.657
Carbon D(O18/O16),2001,9,-0.997
Carbon D(O18/O16),2001,10,-1.105
Carbon D(O18/O16),2001,11,-1.018
Carbon D(O18/O16),2001,12,-0.848
Carbon D(O18/O16),2002,1,-0.626
Carbon D(O18/O16),2002,2,-0.45
Carbon D(O18/O16),2002,3,-0.28
Carbon D(O18/O16),2002,4,-0.105
Carbon D(O18/O16),2002,5,-0.038
Carbon D(O18/O16),2002,6,-0.05
Carbon D(O18/O16),2002,7,-0.242
Carbon D(O18/O16),2002,8,-0.763
Carbon D(O18/O16),2002,9,-1.215
Carbon D(O18/O16),2002,10,-1.173
Carbon D(O18/O16),2002,11,-0.878
Carbon D(O18/O16),2002,12,-0.612
Carbon D(O18/O16),2003,1,-0.488
Carbon D(O18/O16),2003,2,-0.446
Carbon D(O18/O16),2003,3,-0.306
Carbon D(O18/O16),2003,4,-0.11
Carbon D(O18/O16),2003,5,-0.047
Carbon D(O18/O16),2003,6,-0.054
Carbon D(O18/O16),2003,7,-0.161
Carbon D(O18/O16),2003,8,-0.499
Carbon D(O18/O16),2003,9,-0.935
Carbon D(O18/O16),2003,10,-1.107
Carbon D(O18/O16),2003,11,-1.073
Carbon D(O18/O16),2003,12,-0.931
Carbon D(O18/O16),2004,1,-0.699
Carbon D(O18/O16),2004,2,-0.484
Carbon D(O18/O16),2004,3,-0.249
Carbon D(O18/O16),2004,4,-0.079
Carbon D(O18/O16),2004,5,-0.085
Carbon D(O18/O16),2004,6,-0.141
Carbon D(O18/O16),2004,7,-0.25
Carbon D(O18/O16),2004,8,-0.621
Carbon D(O18/O16),2004,9,-1.012
Carbon D(O18/O16),2004,10,-1.091
Carbon D(O18/O16),2004,11,-0.971
Carbon D(O18/O16),2004,12,-0.771
Carbon D(O18/O16),2005,1,-0.528
Carbon D(O18/O16),2005,2,-0.326
Carbon D(O18/O16),2005,3,-0.173
Carbon D(O18/O16),2005,4,-0.067
Carbon D(O18/O16),2005,5,-0.079
Carbon D(O18/O16),2005,6,-0.147
Carbon D(O18/O16),2005,7,-0.326
Carbon D(O18/O16),2005,8,-0.854
Carbon D(O18/O16),2005,9,-1.377
Carbon D(O18/O16),2005,10,-1.412
Carbon D(O18/O16),2005,11,-1.131
Carbon D(O18/O16),2005,12,-0.852
Carbon D(O18/O16),2006,1,-0.615
Carbon D(O18/O16),2006,2,-0.459
Carbon D(O18/O16),2006,3,-0.323
Carbon D(O18/O16),2006,4,-0.226
Carbon D(O18/O16),2006,5,-0.284
Carbon D(O18/O16),2006,6,-0.395
Carbon D(O18/O16),2006,7,-0.569
Carbon D(O18/O16),2006,8,-1.006
Carbon D(O18/O16),2006,9,-1.419
Carbon D(O18/O16),2006,10,-1.509
Carbon D(O18/O16),2006,11,-1.292
Carbon D(O18/O16),2006,12,-1.009
Carbon D(O18/O16),2007,1,-0.718
Carbon D(O18/O16),2007,2,-0.534
Carbon D(O18/O16),2007,3,-0.406
Carbon D(O18/O16),2007,4,-0.29
Carbon D(O18/O16),2007,5,-0.288
Carbon D(O18/O16),2007,6,-0.313
Carbon D(O18/O16),2007,7,-0.414
Carbon D(O18/O16),2007,8,-0.768
Carbon D(O18/O16),2007,9,-1.093
Carbon D(O18/O16),2007,10,-1.107
Carbon D(O18/O16),2007,11,-0.911
Carbon D(O18/O16),2007,12,-0.743
Carbon D(O18/O16),2008,1,-0.639
Carbon D(O18/O16),2008,2,-0.574
Carbon D(O18/O16),2008,3,-0.439
Carbon D(O18/O16),2008,4,-0.313
Carbon D(O18/O16),2008,5,-0.326
Carbon D(O18/O16),2008,6,-0.342
Carbon D(O18/O16),2008,7,-0.36
Carbon D(O18/O16),2008,8,-0.601
Carbon D(O18/O16),2008,9,-1.015
Carbon D(O18/O16),2008,10,-1.263
Carbon D(O18/O16),2008,11,-1.304
Carbon D(O18/O16),2008,12,-1.177
Carbon D(O18/O16),2009,1,-0.919
Carbon D(O18/O16),2009,2,-0.696
