gas_name,gas_year,gas_month,gas_average
Sulfur Hexafluoride ,1997,5,4.17
Sulfur Hexafluoride ,1997,6,4.18
Sulfur Hexafluoride ,1997,7,4.17
Sulfur Hexafluoride ,1997,8,4.17
Sulfur Hexafluoride ,1997,9,4.2
Sulfur Hexafluoride ,1997,10,4.22
Sulfur Hexafluoride ,1997,11,4.24
Sulfur Hexafluoride ,1997,12,4.27
Sulfur Hexafluoride ,1998,1,4.31
Sulfur Hexafluoride ,1998,2,4.34
Sulfur Hexafluoride ,1998,3,4.35
Sulfur Hexafluoride ,1998,4,4.35
Sulfur Hexafluoride ,1998,5,4.37
Sulfur Hexafluoride ,1998,6,4.39
Sulfur Hexafluoride ,1998,7,4.4
Sulfur Hexafluoride ,1998,8,4.41
Sulfur Hexafluoride ,1998,9,4.41
Sulfur Hexafluoride ,1998,10,4.41
Sulfur Hexafluoride ,1998,11,4.44
Sulfur Hexafluoride ,1998,12,4.5
Sulfur Hexafluoride ,1999,1,4.53
Sulfur Hexafluoride ,1999,2,4.54
Sulfur Hexafluoride ,1999,3,4.54
Sulfur Hexafluoride ,1999,4,4.52
Sulfur Hexafluoride ,1999,5,4.5
Sulfur Hexafluoride ,1999,6,4.51
Sulfur Hexafluoride ,1999,7,4.51
Sulfur Hexafluoride ,1999,8,4.52
Sulfur Hexafluoride ,1999,9,4.54
Sulfur Hexafluoride ,1999,10,4.56
Sulfur Hexafluoride ,1999,11,4.59
Sulfur Hexafluoride ,1999,12,4.62
Sulfur Hexafluoride ,2000,1,4.64
Sulfur Hexafluoride ,2000,2,4.65
Sulfur Hexafluoride ,2000,3,4.67
Sulfur Hexafluoride ,2000,4,4.7
Sulfur Hexafluoride ,2000,5,4.72
Sulfur Hexafluoride ,2000,6,4.74
Sulfur Hexafluoride ,2000,7,4.75
Sulfur Hexafluoride ,2000,8,4.74
Sulfur Hexafluoride ,2000,9,4.76
Sulfur Hexafluoride ,2000,10,4.81
Sulfur Hexafluoride ,2000,11,4.82
Sulfur Hexafluoride ,2000,12,4.83
Sulfur Hexafluoride ,2001,1,4.86
Sulfur Hexafluoride ,2001,2,4.89
Sulfur Hexafluoride ,2001,3,4.9
Sulfur Hexafluoride ,2001,4,4.9
Sulfur Hexafluoride ,2001,5,4.92
Sulfur Hexafluoride ,2001,6,4.94
Sulfur Hexafluoride ,2001,7,4.95
Sulfur Hexafluoride ,2001,8,4.94
Sulfur Hexafluoride ,2001,9,4.94
Sulfur Hexafluoride ,2001,10,4.96
Sulfur Hexafluoride ,2001,11,5.01
Sulfur Hexafluoride ,2001,12,5.04
Sulfur Hexafluoride ,2002,1,5.06
Sulfur Hexafluoride ,2002,2,5.07
Sulfur Hexafluoride ,2002,3,5.09
Sulfur Hexafluoride ,2002,4,5.1
Sulfur Hexafluoride ,2002,5,5.11
Sulfur Hexafluoride ,2002,6,5.13
Sulfur Hexafluoride ,2002,7,5.14
Sulfur Hexafluoride ,2002,8,5.13
Sulfur Hexafluoride ,2002,9,5.14
Sulfur Hexafluoride ,2002,10,5.17
Sulfur Hexafluoride ,2002,11,5.2
Sulfur Hexafluoride ,2002,12,5.22
Sulfur Hexafluoride ,2003,1,5.23
Sulfur Hexafluoride ,2003,2,5.26
Sulfur Hexafluoride ,2003,3,5.29
Sulfur Hexafluoride ,2003,4,5.33
Sulfur Hexafluoride ,2003,5,5.38
Sulfur Hexafluoride ,2003,6,5.42
Sulfur Hexafluoride ,2003,7,5.44
Sulfur Hexafluoride ,2003,8,5.44
Sulfur Hexafluoride ,2003,9,5.43
Sulfur Hexafluoride ,2003,10,5.46
Sulfur Hexafluoride ,2003,11,5.49
Sulfur Hexafluoride ,2003,12,5.51
Sulfur Hexafluoride ,2004,1,5.54
Sulfur Hexafluoride ,2004,2,5.55
Sulfur Hexafluoride ,2004,3,5.56
Sulfur Hexafluoride ,2004,4,5.59
Sulfur Hexafluoride ,2004,5,5.62
Sulfur Hexafluoride ,2004,6,5.64
Sulfur Hexafluoride ,2004,7,5.63
Sulfur Hexafluoride ,2004,8,5.62
Sulfur Hexafluoride ,2004,9,5.62
Sulfur Hexafluoride ,2004,10,5.65
Sulfur Hexafluoride ,2004,11,5.68
Sulfur Hexafluoride ,2004,12,5.72
Sulfur Hexafluoride ,2005,1,5.76
Sulfur Hexafluoride ,2005,2,5.77
Sulfur Hexafluoride ,2005,3,5.78
Sulfur Hexafluoride ,2005,4,5.79
Sulfur Hexafluoride ,2005,5,5.81
Sulfur Hexafluoride ,2005,6,5.83
Sulfur Hexafluoride ,2005,7,5.85
Sulfur Hexafluoride ,2005,8,5.86
Sulfur Hexafluoride ,2005,9,5.85
Sulfur Hexafluoride ,2005,10,5.86
Sulfur Hexafluoride ,2005,11,5.9
Sulfur Hexafluoride ,2005,12,5.96
Sulfur Hexafluoride ,2006,1,5.98
Sulfur Hexafluoride ,2006,2,6
Sulfur Hexafluoride ,2006,3,6.03
Sulfur Hexafluoride ,2006,4,6.06
Sulfur Hexafluoride ,2006,5,6.07
Sulfur Hexafluoride ,2006,6,6.08
Sulfur Hexafluoride ,2006,7,6.09
Sulfur Hexafluoride ,2006,8,6.1
Sulfur Hexafluoride ,2006,9,6.09
Sulfur Hexafluoride ,2006,10,6.11
Sulfur Hexafluoride ,2006,11,6.15
Sulfur Hexafluoride ,2006,12,6.22
Sulfur Hexafluoride ,2007,1,6.25
Sulfur Hexafluoride ,2007,2,6.25
Sulfur Hexafluoride ,2007,3,6.26
Sulfur Hexafluoride ,2007,4,6.32
Sulfur Hexafluoride ,2007,5,6.36
Sulfur Hexafluoride ,2007,6,6.37
Sulfur Hexafluoride ,2007,7,6.37
Sulfur Hexafluoride ,2007,8,6.37
Sulfur Hexafluoride ,2007,9,6.38
Sulfur Hexafluoride ,2007,10,6.4
Sulfur Hexafluoride ,2007,11,6.46
Sulfur Hexafluoride ,2007,12,6.52
Sulfur Hexafluoride ,2008,1,6.55
Sulfur Hexafluoride ,2008,2,6.57
Sulfur Hexafluoride ,2008,3,6.59
Sulfur Hexafluoride ,2008,4,6.61
Sulfur Hexafluoride ,2008,5,6.63
Sulfur Hexafluoride ,2008,6,6.65
Sulfur Hexafluoride ,2008,7,6.66
Sulfur Hexafluoride ,2008,8,6.69
Sulfur Hexafluoride ,2008,9,6.73
Sulfur Hexafluoride ,2008,10,6.75
Sulfur Hexafluoride ,2008,11,6.78
Sulfur Hexafluoride ,2008,12,6.83
Sulfur Hexafluoride ,2009,1,6.87
Sulfur Hexafluoride ,2009,2,6.87
Sulfur Hexafluoride ,2009,3,6.88
Sulfur Hexafluoride ,2009,4,6.91
Sulfur Hexafluoride ,2009,5,6.93
Sulfur Hexafluoride ,2009,6,6.93
Sulfur Hexafluoride ,2009,7,6.96
Sulfur Hexafluoride ,2009,8,6.98
Sulfur Hexafluoride ,2009,9,6.99
Sulfur Hexafluoride ,2009,10,7
Sulfur Hexafluoride ,2009,11,7.04
Sulfur Hexafluoride ,2009,12,7.08
Sulfur Hexafluoride ,2010,1,7.13
Sulfur Hexafluoride ,2010,2,7.16
Sulfur Hexafluoride ,2010,3,7.19
Sulfur Hexafluoride ,2010,4,7.2
Sulfur Hexafluoride ,2010,5,7.21
Sulfur Hexafluoride ,2010,6,7.23
Sulfur Hexafluoride ,2010,7,7.25
Sulfur Hexafluoride ,2010,8,7.27
Sulfur Hexafluoride ,2010,9,7.28
Sulfur Hexafluoride ,2010,10,7.28
Sulfur Hexafluoride ,2010,11,7.32
Sulfur Hexafluoride ,2010,12,7.37
Sulfur Hexafluoride ,2011,1,7.41
Sulfur Hexafluoride ,2011,2,7.41
Sulfur Hexafluoride ,2011,3,7.42
Sulfur Hexafluoride ,2011,4,7.44
Sulfur Hexafluoride ,2011,5,7.47
Sulfur Hexafluoride ,2011,6,7.51
Sulfur Hexafluoride ,2011,7,7.52
Sulfur Hexafluoride ,2011,8,7.51
Sulfur Hexafluoride ,2011,9,7.51
Sulfur Hexafluoride ,2011,10,7.56
Sulfur Hexafluoride ,2011,11,7.61
Sulfur Hexafluoride ,2011,12,7.64
Sulfur Hexafluoride ,2012,1,7.66
Sulfur Hexafluoride ,2012,2,7.68
Sulfur Hexafluoride ,2012,3,7.7
Sulfur Hexafluoride ,2012,4,7.74
Sulfur Hexafluoride ,2012,5,7.78
Sulfur Hexafluoride ,2012,6,7.81
Sulfur Hexafluoride ,2012,7,7.82
Sulfur Hexafluoride ,2012,8,7.82
Sulfur Hexafluoride ,2012,9,7.84
Sulfur Hexafluoride ,2012,10,7.87
Sulfur Hexafluoride ,2012,11,7.93
Sulfur Hexafluoride ,2012,12,7.97
Sulfur Hexafluoride ,2013,1,8
Sulfur Hexafluoride ,2013,2,8.02
Sulfur Hexafluoride ,2013,3,8.03
Sulfur Hexafluoride ,2013,4,8.05
Sulfur Hexafluoride ,2013,5,8.11
Sulfur Hexafluoride ,2013,6,8.16
Sulfur Hexafluoride ,2013,7,8.16
Sulfur Hexafluoride ,2013,8,8.16
Sulfur Hexafluoride ,2013,9,8.17
Sulfur Hexafluoride ,2013,10,8.2
Sulfur Hexafluoride ,2013,11,8.25
Sulfur Hexafluoride ,2013,12,8.29
Sulfur Hexafluoride ,2014,1,8.3
Sulfur Hexafluoride ,2014,2,8.33
Sulfur Hexafluoride ,2014,3,8.37
Sulfur Hexafluoride ,2014,4,8.4
Sulfur Hexafluoride ,2014,5,8.41
Sulfur Hexafluoride ,2014,6,8.43
Sulfur Hexafluoride ,2014,7,8.46
Sulfur Hexafluoride ,2014,8,8.49
Sulfur Hexafluoride ,2014,9,8.52
Sulfur Hexafluoride ,2014,10,8.57
Sulfur Hexafluoride ,2014,11,8.63
Sulfur Hexafluoride ,2014,12,8.66
Sulfur Hexafluoride ,2015,1,8.66
Sulfur Hexafluoride ,2015,2,8.67
Sulfur Hexafluoride ,2015,3,8.7
Sulfur Hexafluoride ,2015,4,8.73
Sulfur Hexafluoride ,2015,5,8.76
Sulfur Hexafluoride ,2015,6,8.8
Sulfur Hexafluoride ,2015,7,8.81
Sulfur Hexafluoride ,2015,8,8.82
Sulfur Hexafluoride ,2015,9,8.83
Sulfur Hexafluoride ,2015,10,8.87
Sulfur Hexafluoride ,2015,11,8.92
Sulfur Hexafluoride ,2015,12,8.96
Sulfur Hexafluoride ,2016,1,8.99
Sulfur Hexafluoride ,2016,2,9
Sulfur Hexafluoride ,2016,3,9.01
Sulfur Hexafluoride ,2016,4,9.04
Sulfur Hexafluoride ,2016,5,9.09
Sulfur Hexafluoride ,2016,6,9.13
Sulfur Hexafluoride ,2016,7,9.15
Sulfur Hexafluoride ,2016,8,9.15
Sulfur Hexafluoride ,2016,9,9.17
Sulfur Hexafluoride ,2016,10,9.21
Sulfur Hexafluoride ,2016,11,9.26
Sulfur Hexafluoride ,2016,12,9.31
Sulfur Hexafluoride ,2017,1,9.34
Sulfur Hexafluoride ,2017,2,9.37
Sulfur Hexafluoride ,2017,3,9.4
Sulfur Hexafluoride ,2017,4,9.43
Sulfur Hexafluoride ,2017,5,9.46
Sulfur Hexafluoride ,2017,6,9.48
Sulfur Hexafluoride ,2017,7,9.49
Sulfur Hexafluoride ,2017,8,9.5
Sulfur Hexafluoride ,2017,9,9.51
Sulfur Hexafluoride ,2017,10,9.57
Sulfur Hexafluoride ,2017,11,9.62
Sulfur Hexafluoride ,2017,12,9.65
Sulfur Hexafluoride ,2018,1,9.68
Sulfur Hexafluoride ,2018,2,9.71
Sulfur Hexafluoride ,2018,3,9.73
Sulfur Hexafluoride ,2018,4,9.75
Sulfur Hexafluoride ,2018,5,9.76
Sulfur Hexafluoride ,2018,6,9.79
Sulfur Hexafluoride ,2018,7,9.81
Sulfur Hexafluoride ,2018,8,9.83
Sulfur Hexafluoride ,2018,9,9.85
Sulfur Hexafluoride ,2018,10,9.9
Sulfur Hexafluoride ,2018,11,9.95
Sulfur Hexafluoride ,2018,12,9.99
Sulfur Hexafluoride ,2019,1,10.01
Sulfur Hexafluoride ,2019,2,10.02
Sulfur Hexafluoride ,2019,3,10.05
Sulfur Hexafluoride ,2019,4,10.09
Sulfur Hexafluoride ,2019,5,10.11
Sulfur Hexafluoride ,2019,6,10.15
Sulfur Hexafluoride ,2019,7,10.18
Sulfur Hexafluoride ,2019,8,10.2
Sulfur Hexafluoride ,2019,9,10.22
Sulfur Hexafluoride ,2019,10,10.24
Sulfur Hexafluoride ,2019,11,10.27
Sulfur Hexafluoride ,2019,12,10.31
