agency_cd,site_no,site_loc
USGS,7227900,"Lk Meredith nr Sanford, TX"
USGS,8017400,"Lk Tawakoni nr Wills Point, TX"
USGS,8018800,"Lake Fk Res nr Quitman, TX"
USGS,8025350,"Toledo Bd Res nr Burkeville, TX"
USGS,8031400,"Lk Palestine nr Frankston, TX"
USGS,8039300,"Sam Rayburn Res nr Jasper, TX"
USGS,8052800,"Lewisville Lk nr Lewisville, TX"
USGS,8060500,"Lavon Lk nr Lavon, TX"
USGS,8061550,"Lk Ray Hubbard nr Forney, TX"
USGS,8063010,"Cedar Ck Res nr Trinidad, TX"
USGS,8064550,"Richland-Chambers Res nr Kerens, TX"
USGS,8066190,"Livingston Res nr Goodrich, TX"
USGS,8067600,"Lk Conroe nr Conroe, TX"
USGS,8088500,"Possum Kingdom Lk nr Graford, TX"
USGS,8092500,"Whitney Lk nr Whitney, TX"
USGS,8102000,"Belton Lk nr Belton, TX"
USGS,8136600,"O. H. Ivie Res nr Voss, TX"
USGS,8167700,"Canyon Lk nr New Braunfels, TX"
USGS,8206900,"Choke Canyon Res nr Three Rivers, TX"
