agency_cd,site_no,river_name,site_loc
USGS,7227500,Canadian River,"Amarillo, TX"
USGS,7228000,Canadian River,"Canadian, TX"
USGS,7297910,Red River,"Wayside, TX"
USGS,7308500,Red River,"Burkburnett, TX"
USGS,8017410,Sabine River,"Wills Point, TX"
USGS,8030500,Sabine River,"Ruliff, TX"
USGS,8032000,Neches River,"Neches, TX"
USGS,8041000,Neches River,"Evadale, TX"
USGS,8057410,Trinity River,"Dallas, TX"
USGS,8067000,Trinity River,"Liberty, TX"
USGS,8070000,San Jacinto River,"Cleveland, TX"
USGS,8070200,San Jacinto River,"New Caney, TX"
USGS,8088000,Brazos River,"South Bend, TX"
USGS,8116650,Brazos River,"Rosharon, TX"
USGS,8117995,Colorado River,"Gail, TX"
USGS,8162500,Colorado River,"Bay City, TX"
USGS,8165300,Guadalupe River,"Hunt, TX"
USGS,8176500,Guadalupe River,"Victoria, TX"
USGS,8178000,San Antonio River,"San Antonio, TX"
USGS,8188500,San Antonio River,"Goliad, TX"
USGS,8190000,Nueces River,"Laguna, TX"
USGS,8211200,Nueces River,"Bluntzer, TX"
USGS,8412500,Pecos River,"Orla, TX"
USGS,8446500,Pecos River,"Girvin, TX"
